Job Outlook for JB,Est.,Pipeline,Estimating Status,Bid Due Date,Project Name,Owner,Architect,Pipeline Probability,Approx. Start Date,# of Months,Approx. Cost,Approx. Finish,Project City,Project State,Market Type,Notes/Description,BD/PM/AM,ITB Date,Lead Estimator,Estimator,Est. Asst.,PX/PM,Estimate Type,RFI Due Date,Schedule,Factored $,Factored $ per month,Duration,2025 % Complete,Days in 2025,$ in 2025,Days in 2026,$ in 2026,Days in 2027,$ in 2027,Notes for JB Outlook
,,,1 Bidding This Week,,PTO - ALYSSA - 4/3 - 4/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 Bidding This Week,,PTO - AMANDA 4/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 Bidding This Week,,PTO - TAYLOR 3/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,TRUE,TRUE,1 Bidding This Week,11/06/25,Mountainside Fitness #22 - Morrison Ranch,Mountainside Fitness,,75%,12/15/25,8,"$9,189,170",08/15/26,Gilbert,Arizona,Sports/Fitness,"Full site, building, TI",Adam,,CH,CH,MB,,Neg.,,,"$6,891,878","$861,485",244,7%,16,"$451,926",228,"6,439,951",0,$0,
,TRUE,,6 Post Pending,11/04/25,YRC 2nd Floor TI Office Remodel,San Manuel,,5%,11/17/25,2,"$364,636",01/17/26,Highland,California,Office TI,"IT office TI on 2nd Floor in Casino - 2,500SF",Joe,,AL,AL,AL,,HB-3,,,"$18,232","$9,116",62,71%,44,"$12,939",18,"5,293",0,$0,
,TRUE,,6 Post Pending,10/24/25,Tribal School Work,San Manuel,,1%,11/15/25,1,"$115,739",12/15/25,Highland,California,Education,"Gutter, Handrails, Install of Display Cases",Melinda,,AT,AT,AT,,Con.,,,"$1,157","$1,157",31,100%,31,"$1,157",0,0,0,$0,
,TRUE,,6 Post Pending,10/24/25,Kiic Building,San Manuel,,1%,11/15/25,2,"$75,842",01/15/26,Highland,California,Native,"Reseal existing windows, wallpaper, work",Melinda,,AT,AT,AT,,Con.,,,$758,$379,62,74%,46,$563,16,196,0,$0,
,TRUE,,3 Bidding Three Weeks,11/20/25,Coss Drywall Office,Phoenix,,5%,03/01/26,8,"$2,500,000",11/01/26,Phoenix,Arizona,Office,"18,000 SF (2) Story Office, .41 Site",Brian,,CH,CH,CH,,Con.,,,"$125,000","$15,625",246,0%,0,$0,246,"125,000",0,$0,
,TRUE,,5 Arriving,Pending,Ganem Jewelers,Kensington,,1%,03/01/25,6,"$2,000,000",09/01/25,San Tan,Arizona,Retail TI,Ganem Jewelers Building and TI,Brian,,,,,,,,,"$20,000","$3,333",185,100%,185,"$20,000",0,0,0,$0,
,TRUE,TRUE,1 Bidding This Week,11/07/25,Ak-Chin Casitas & Tower Remodel,Ak-Chin,,15%,01/01/26,14,"$55,000,000",03/01/27,Maricopa,Arizona,Multifamily,"3 Buildings, 18,000, Pools etc",Brian,,PS,PS,AL,,HB-3,,,"$8,250,000","$589,286",425,0%,0,$0,366,"7,104,706",59,"$1,145,294",
,TRUE,,5 Arriving,Pending,AK-Chin Dialysis,AK-Chin (DaVita),,50%,02/01/26,6,"$1,500,000",08/01/26,Maricopa,Arizona,MOB,Dialysis Center for Davita,Brian,,TS,TS,??,,,,,"$750,000","$125,000",182,0%,0,$0,182,"750,000",0,$0,
TRUE,TRUE,TRUE,1 Bidding This Week,11/06/25,Caldwell BBQ T.I. - Phoenix,Caldwell BBQ,,5%,01/01/26,4,"$3,210,029",05/01/26,Phoenix,Arizona,Restaurant,TI in a YAM property at Scottsdale/Mayo,Hayley,,CH,CH,MB,,Con.,N/A,,"$160,501","$40,125",121,0%,0,$0,121,"160,501",0,$0,
,TRUE,,5 Arriving,Pending,BootFit Gym,Ben,,1%,06/01/26,4,"$500,000",10/01/26,Queen Creek,Arizona,Sports/Fitness,TI for a FitBody Gym,Brian,,,,,,,,,"$5,000","$1,250",123,0%,0,$0,123,"5,000",0,$0,
,TRUE,,5 Arriving,Pending,WholeFoods - SanTan Village,Kensington Development,,50%,12/01/26,8,"$4,500,000",08/01/27,San Tan,Arizona,Grocery GU,Ground-Up Whole Foods,Brian,,,,,,,,,"$2,250,000","$281,250",244,0%,0,$0,32,"295,082",212,"$1,954,918",
